,id,updated,confirmed,confirmed_change,deaths,deaths_change,recovered,recovered_change,load_time
229,60999090,2020-06-09,27235839,274044.0,880955,6247.0,18021000.0,303089.0,09:54.1
230,61310529,2020-07-09,27437294,201455.0,890687,9732.0,18191761.0,170761.0,09:54.1
231,61589964,2020-08-09,27605560,168266.0,894430,3743.0,18415364.0,223603.0,09:54.1
232,61905903,2020-09-09,27933388,327828.0,898269,3839.0,18565072.0,149708.0,09:54.1
233,61969075,2020-10-09,28268970,335582.0,905181,6912.0,18819388.0,254316.0,09:54.1
234,62328780,2020-11-09,28606726,337756.0,911282,6101.0,19048042.0,228654.0,09:54.1
235,62720553,2020-12-09,28855994,249268.0,917417,6135.0,19288985.0,240943.0,09:54.1
236,63087717,2020-09-13,29145068,289074.0,921698,4281.0,19511976.0,222991.0,09:54.1
237,63414798,2020-09-14,29408424,263356.0,925947,4249.0,19681709.0,169733.0,09:54.1
238,63739017,2020-09-15,29730140,321716.0,931167,5220.0,19951166.0,269457.0,09:54.1
239,64101931,2020-09-16,30003378,273238.0,938575,7408.0,20202899.0,251733.0,09:54.1
240,64435934,2020-09-17,30290791,287413.0,943203,4628.0,20398381.0,195482.0,09:54.1
241,64835287,2020-09-18,30588989,298198.0,947919,4716.0,20623028.0,224647.0,09:54.1
242,65233756,2020-09-19,30859069,270080.0,953482,5563.0,20832830.0,209802.0,09:54.1
243,65637628,2020-09-20,31181782,322713.0,958314,4832.0,21099095.0,266265.0,09:54.1
244,66018801,2020-09-21,31453048,271266.0,962266,3952.0,21300501.0,201406.0,09:54.1
245,66383549,2020-09-22,31759233,306185.0,967347,5081.0,21583667.0,283166.0,09:54.1
246,66792413,2020-09-23,32068225,308992.0,973904,6557.0,21811742.0,228075.0,09:54.1
247,67185093,2020-09-24,32397479,329254.0,979862,5958.0,22059084.0,247342.0,09:54.1
248,67581831,2020-09-25,32636842,239363.0,985748,5886.0,22313269.0,254185.0,09:54.1
249,67965654,2020-09-26,32949407,312565.0,990134,4386.0,22525177.0,211908.0,09:54.1
250,68265390,2020-09-27,33156812,207405.0,995658,5524.0,22787799.0,262622.0,09:54.1
251,68655368,2020-09-28,33489205,332393.0,998696,3038.0,22961436.0,173637.0,09:54.1
252,69018938,2020-09-29,33785178,295973.0,1004278,5582.0,23243613.0,282177.0,09:54.1
253,69430834,2020-09-30,34136078,350900.0,1010147,5869.0,23448934.0,205321.0,09:54.1
254,69833168,2020-01-10,34450697,314619.0,1016970,6823.0,23711591.0,262657.0,09:54.1
255,70240693,2020-02-10,34768408,317711.0,1025354,8384.0,23914523.0,202932.0,09:54.1
256,70639798,2020-03-10,35011322,242914.0,1030880,5526.0,24145097.0,230574.0,09:54.1
257,71036840,2020-04-10,35339125,327803.0,1034865,3985.0,24364562.0,219465.0,09:54.1
258,71424980,2020-05-10,35654271,315146.0,1039120,4255.0,24571309.0,206747.0,09:54.1
259,71835886,2020-06-10,36026644,372373.0,1046809,7689.0,24834996.0,263687.0,09:54.1
260,72233477,2020-07-10,36372696,346052.0,1053357,6548.0,25117417.0,282421.0,09:54.1
